0000 
008192 
0.0000000000000000E+00 
     0    0X1P-13    0X1.0CBCC77745C1EP-1 0X1.239EDD3E3E53FP-6 0X1.5253B6F2C3245P+0    -0X1.DE66C49A67808P-3 -0X1.0BD6CCBB7226P-1 0X1.1E8132E0C94DFP-2    NAN
     1    0X1P-13    0X1.77F5DABD7D198P-2 -0X1.A4EA87E17668CP-3 0X1.05DBACAFA48DP-2    0X1.A1C83DDA614C8P-7 -0X1.B63F3EB20746EP-3 0X1.263AEFC0D8321P-2    NAN
     2    0X1P-13    0X1.A4FF4EFE088B7P-3 -0X1.7350324C430BAP-1 -0X1.D53E6E440F6A9P-1    -0X1.FF6173536EAF6P-2 -0X1.47774DCEF6CD2P-2 -0X1.09F684CB5FF58P-2    NAN
     3    0X1P-13    -0X1.D1173B9B11E62P-2 0X1.579BD475029C7P-3 0X1.404E1243855EEP-5    0X1.FF99A93B24817P-2 0X1.2C9401935039P-1 -0X1.50CB75BC0BAD8P-3    NAN
     4    0X1P-13    0X1.371477E037652P+0 0X1.35914BFB89B3DP+0 -0X1.3CE250BDCCA75P+0    0X1.0FEC210E1C6BCP-2 0X1.8D87314C60BEBP-3 0X1.7E55CDBB84117P-5    NAN
     5    0X1P-13    0X1.02F6634560B2EP-3 -0X1.1DCE7DC339EA8P-4 0X1.32E3E74B15D1AP-4    0X1.8A29406A6D0DAP-1 0X1.2C89BB54632EFP-4 0X1.361003390FEFP-13    NAN
     6    0X1P-13    -0X1.0B773B9164EDFP-1 0X1.115B4F79DA9C2P-3 -0X1.5C92D829730A3P+0    0X1.07D8C0F9D0379P-2 0X1.E2C1E631C4AE8P-2 -0X1.B08B1FE2534A1P-6    NAN
     7    0X1P-13    0X1.3C0CF484E4FBAP-3 -0X1.EFF10A489EAA4P-1 -0X1.A24C830FC08DDP-2    -0X1.29DBED05C1572P-3 -0X1.51B9D3766FF37P-3 -0X1.67C1F3EA3F676P-2    NAN
     8    0X1P-13    -0X1.C32DEE7B4B208P-2 0X1.D90817D5F0B03P-3 -0X1.52B06AE1A2F5P-3    -0X1.2FF9C433D9A07P-4 -0X1.29EEBC59548F7P-1 -0X1.F62F891A2BE27P-1    NAN
     9    0X1P-13    0X1.13CE58D0D8F38P-5 0X1.F1533D5B9A00CP-4 -0X1.E972964CA4BC7P-4    0X1.A851DB5E7D6CP-3 -0X1.29C2072B21E5FP-2 0X1.2B0515039EEADP+0    NAN
